Category: All categories

Week,generative music: (United States),visual data: (United States),ai music: (United States)
2019-10-27,4,92,21
2019-11-03,0,78,24
2019-11-10,3,89,22
2019-11-17,7,95,17
2019-11-24,0,60,16
2019-12-01,3,80,15
2019-12-08,4,56,19
2019-12-15,0,57,14
2019-12-22,0,28,14
2019-12-29,4,35,18
2020-01-05,0,73,24
2020-01-12,3,57,16
2020-01-19,0,97,10
2020-01-26,3,80,23
2020-02-02,3,87,10
2020-02-09,3,98,10
2020-02-16,3,88,23
2020-02-23,7,96,19
2020-03-01,0,69,11
2020-03-08,3,72,19
2020-03-15,3,60,12
2020-03-22,5,60,12
2020-03-29,3,90,18
2020-04-05,0,73,18
2020-04-12,3,82,16
2020-04-19,3,79,14
2020-04-26,3,82,15
2020-05-03,3,89,44
2020-05-10,3,64,23
2020-05-17,5,64,14
2020-05-24,0,53,12
2020-05-31,3,56,14
2020-06-07,0,59,17
2020-06-14,3,64,21
2020-06-21,3,76,11
2020-06-28,0,71,15
2020-07-05,0,55,10
2020-07-12,3,61,16
2020-07-19,3,63,17
2020-07-26,7,51,17
2020-08-02,3,73,12
2020-08-09,7,66,20
2020-08-16,3,52,16
2020-08-23,3,80,17
2020-08-30,0,80,20
2020-09-06,3,88,20
2020-09-13,3,72,21
2020-09-20,0,68,14
2020-09-27,0,86,17
2020-10-04,7,70,20
2020-10-11,4,72,15
2020-10-18,0,100,40
