Category: All categories

Week,minecraft: (United States),cars: (United States),foot: (United States)
2019-10-27,43,70,49
2019-11-03,44,73,49
2019-11-10,46,71,49
2019-11-17,41,75,49
2019-11-24,50,73,52
2019-12-01,41,70,51
2019-12-08,52,72,55
2019-12-15,54,72,52
2019-12-22,58,77,52
2019-12-29,62,75,49
2020-01-05,46,75,47
2020-01-12,45,78,47
2020-01-19,48,80,48
2020-01-26,43,74,48
2020-02-02,47,79,47
2020-02-09,51,80,49
2020-02-16,52,82,49
2020-02-23,48,84,50
2020-03-01,49,81,48
2020-03-08,54,71,45
2020-03-15,90,57,38
2020-03-22,99,56,40
2020-03-29,98,56,41
2020-04-05,99,61,48
2020-04-12,95,64,48
2020-04-19,92,64,52
2020-04-26,91,68,55
2020-05-03,83,71,59
2020-05-10,83,75,57
2020-05-17,81,79,58
2020-05-24,92,85,60
2020-05-31,80,78,56
2020-06-07,80,84,58
2020-06-14,75,88,62
2020-06-21,100,84,60
2020-06-28,97,86,59
2020-07-05,88,83,57
2020-07-12,85,85,56
2020-07-19,88,88,57
2020-07-26,85,83,54
2020-08-02,82,83,54
2020-08-09,80,82,54
2020-08-16,73,76,55
2020-08-23,69,75,52
2020-08-30,65,75,50
2020-09-06,64,75,50
2020-09-13,62,73,56
2020-09-20,58,76,52
2020-09-27,67,74,50
2020-10-04,72,73,49
2020-10-11,63,75,51
2020-10-18,67,77,50
