Category: All categories

Time,breonna taylor: (United States),black lives matter: (United States),george floyd: (United States)
2020-10-28T10,22,45,36
2020-10-28T11,23,47,35
2020-10-28T12,19,45,31
2020-10-28T13,18,46,35
2020-10-28T14,25,53,40
2020-10-28T15,23,55,44
2020-10-28T16,20,52,51
2020-10-28T17,23,52,58
2020-10-28T18,23,55,54
2020-10-28T19,28,60,61
2020-10-28T20,25,52,59
2020-10-28T21,22,52,58
2020-10-28T22,19,43,45
2020-10-28T23,20,39,53
2020-10-29T00,28,33,46
2020-10-29T01,22,29,28
2020-10-29T02,22,26,23
2020-10-29T03,27,31,28
2020-10-29T04,20,33,33
2020-10-29T05,21,36,32
2020-10-29T06,19,38,35
2020-10-29T07,16,44,32
2020-10-29T08,17,45,36
2020-10-29T09,17,45,41
2020-10-29T10,16,44,37
2020-10-29T11,18,42,38
2020-10-29T12,15,42,36
2020-10-29T13,18,41,32
2020-10-29T14,17,44,30
2020-10-29T15,19,50,41
2020-10-29T16,18,54,40
2020-10-29T17,18,50,44
2020-10-29T18,22,47,43
2020-10-29T19,23,56,48
2020-10-29T20,27,51,50
2020-10-29T21,24,48,46
2020-10-29T22,28,53,48
2020-10-29T23,20,38,37
2020-10-30T00,28,39,38
2020-10-30T01,21,28,24
2020-10-30T02,22,26,22
2020-10-30T03,57,40,26
2020-10-30T04,51,41,24
2020-10-30T05,38,42,26
2020-10-30T06,51,44,26
2020-10-30T07,46,41,27
2020-10-30T08,49,45,29
2020-10-30T09,41,44,29
2020-10-30T10,44,43,29
2020-10-30T11,42,44,30
2020-10-30T12,41,41,29
2020-10-30T13,40,43,31
2020-10-30T14,61,39,34
2020-10-30T15,42,49,32
2020-10-30T16,39,43,33
2020-10-30T17,37,47,37
2020-10-30T18,35,45,38
2020-10-30T19,37,45,41
2020-10-30T20,36,47,38
2020-10-30T21,36,46,43
2020-10-30T22,27,47,46
2020-10-30T23,32,35,38
2020-10-31T00,35,39,46
2020-10-31T01,25,36,32
2020-10-31T02,32,34,19
2020-10-31T03,31,33,21
2020-10-31T04,31,33,22
2020-10-31T05,29,32,22
2020-10-31T06,25,32,21
2020-10-31T07,22,34,23
2020-10-31T08,22,35,23
2020-10-31T09,21,39,25
2020-10-31T10,19,41,26
2020-10-31T11,20,39,27
2020-10-31T12,20,41,24
2020-10-31T13,15,37,27
2020-10-31T14,16,40,26
2020-10-31T15,15,36,27
2020-10-31T16,18,37,29
2020-10-31T17,17,39,29
2020-10-31T18,19,36,31
2020-10-31T19,20,38,35
2020-10-31T20,21,39,36
2020-10-31T21,22,39,40
2020-10-31T22,19,39,37
2020-10-31T23,21,31,33
2020-11-01T00,17,32,36
2020-11-01T01,21,27,29
2020-11-01T02,14,32,26
2020-11-01T03,13,32,21
2020-11-01T04,18,33,22
2020-11-01T05,18,34,19
2020-11-01T06,19,41,25
2020-11-01T07,18,41,25
2020-11-01T08,17,40,25
2020-11-01T09,17,45,29
2020-11-01T10,17,44,31
2020-11-01T11,17,47,31
2020-11-01T12,18,46,29
2020-11-01T13,16,48,31
2020-11-01T14,17,43,30
2020-11-01T15,19,47,30
2020-11-01T16,18,52,30
2020-11-01T17,16,51,33
2020-11-01T18,19,57,36
2020-11-01T19,21,57,40
2020-11-01T20,20,56,40
2020-11-01T21,25,56,42
2020-11-01T22,19,56,44
2020-11-01T23,20,53,41
2020-11-02T00,26,41,34
2020-11-02T01,14,41,35
2020-11-02T02,18,31,29
2020-11-02T03,14,32,26
2020-11-02T04,13,31,18
2020-11-02T05,14,40,22
2020-11-02T06,14,39,23
2020-11-02T07,13,46,27
2020-11-02T08,15,47,26
2020-11-02T09,16,50,27
2020-11-02T10,16,49,33
2020-11-02T11,14,52,28
2020-11-02T12,14,59,28
2020-11-02T13,14,54,30
2020-11-02T14,14,59,29
2020-11-02T15,16,62,32
2020-11-02T16,19,60,37
2020-11-02T17,17,69,40
2020-11-02T18,18,68,45
2020-11-02T19,18,66,43
2020-11-02T20,21,66,45
2020-11-02T21,20,63,45
2020-11-02T22,20,68,48
2020-11-02T23,17,68,48
2020-11-03T00,20,52,44
2020-11-03T01,16,42,33
2020-11-03T02,15,43,25
2020-11-03T03,14,43,25
2020-11-03T04,13,55,26
2020-11-03T05,15,54,25
2020-11-03T06,16,56,30
2020-11-03T07,14,58,29
2020-11-03T08,15,58,29
2020-11-03T09,17,60,34
2020-11-03T10,16,65,37
2020-11-03T11,17,61,36
2020-11-03T12,14,58,34
2020-11-03T13,16,58,32
2020-11-03T14,17,60,33
2020-11-03T15,19,60,35
2020-11-03T16,22,61,39
2020-11-03T17,19,47,58
2020-11-03T18,18,51,100
2020-11-03T19,18,58,72
2020-11-03T20,16,54,65
2020-11-03T21,14,47,69
2020-11-03T22,15,41,65
2020-11-03T23,14,39,40
2020-11-04T00,10,33,42
2020-11-04T01,10,29,32
2020-11-04T02,7,24,23
2020-11-04T03,5,23,18
2020-11-04T04,6,26,26
2020-11-04T05,8,30,26
2020-11-04T06,9,32,27
2020-11-04T07,9,31,28
2020-11-04T08,9,32,26
2020-11-04T09,14,39,28
